npn_rep_hex,opt_catalogo,opt_rederivado,match,t_sec
0x0007,3,3,OK,0.0
0x001b,4,4,OK,0.1
0x0069,7,7,OK,1.5
0x0116,9,9,OK,126.1
0x011e,7,7,OK,1.9
0x013d,6,6,OK,0.5
0x016b,8,8,OK,10.0
0x0181,6,6,OK,0.4
0x018b,5,5,OK,0.2
0x019a,8,8,OK,10.9
0x01aa,5,5,OK,0.2
0x01bc,8,8,OK,10.9
0x01ea,7,7,OK,1.7
0x033d,7,7,OK,1.1
0x035a,6,6,OK,0.4
0x036a,8,8,OK,8.9
0x037c,7,7,OK,1.1
0x03c5,6,6,OK,0.3
0x03d6,7,7,OK,2.5
0x03dd,5,5,OK,0.2
0x0663,7,7,OK,2.3
0x0672,7,7,OK,1.5
0x067b,9,9,OK,101.8
0x0697,8,8,OK,8.8
0x06b4,8,8,OK,9.5
0x06f0,7,7,OK,1.3
0x0778,7,7,OK,1.2
0x07b4,7,7,OK,1.6
0x07e2,7,7,OK,1.6
0x07f2,6,6,OK,0.4
0x166b,10,10,OK,2155.2
0x1687,9,9,OK,72.3
0x1698,9,9,OK,99.3
0x16ac,9,9,OK,81.1
0x1796,9,9,OK,81.2
0x19e1,9,9,OK,69.0
0x3cc3,6,6,OK,0.4
